Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_genotype,Host,Instrument,isol_growth_condt,Isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sampling_point,SRA Study,Strain,TankReplicate,Treatment
SRR6660567,AMPLICON,600,59463119,PRJNA432116,SAMN08449472,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",39803022,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637709,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",ST_A,Stylissa flabelliformis,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,ST.10,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_ST_10,24h after disturbance,SRP131926,missing,A,Control
SRR6660569,AMPLICON,600,57386938,PRJNA432116,SAMN08449470,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",38532291,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637707,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",ST_C,Stylissa flabelliformis,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,ST.08,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_ST_08,24h after disturbance,SRP131926,missing,C,Control
SRR6660571,AMPLICON,600,74095944,PRJNA432116,SAMN08449468,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",47249542,JAMES COOK UNIVERSITY,19-April-2017,public,missing,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637705,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",ST_F,Stylissa flabelliformis,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,ST.06,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_ST_06,168h after disturbance,SRP131926,missing,F,Pulse
SRR6660573,AMPLICON,600,51993657,PRJNA432116,SAMN08449466,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",28690361,JAMES COOK UNIVERSITY,19-April-2017,public,missing,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637703,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",ST_A,Stylissa flabelliformis,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,ST.04,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_ST_04,168h after disturbance,SRP131926,missing,A,Control
SRR6660574,AMPLICON,600,31965172,PRJNA432116,SAMN08449463,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",18007118,JAMES COOK UNIVERSITY,19-April-2017,public,missing,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637702,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",ST_E,Stylissa flabelliformis,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,ST.01,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_ST_01,168h after disturbance,SRP131926,missing,E,Pulse
SRR6660576,AMPLICON,600,39200731,PRJNA432116,SAMN08449389,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",20128507,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637700,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",AQ_E,Amphimedon queenslandica,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,AQ.17,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_AQ_17,before disturbance,SRP131926,missing,E,Pulse
SRR6660578,AMPLICON,600,37697755,PRJNA432116,SAMN08449387,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",19405003,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637698,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",AQ_C,Amphimedon queenslandica,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,AQ.15,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_AQ_15,before disturbance,SRP131926,missing,C,Control
SRR6660580,AMPLICON,600,39463224,PRJNA432116,SAMN08449385,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",22016635,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Australia,coral reef,marine benthic feature,seawater,SRX3637696,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",AQ_A,Amphimedon queenslandica,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,AQ.13,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_AQ_13,before disturbance,SRP131926,missing,A,Control
SRR6660582,AMPLICON,601,31188823,PRJNA432116,SAMN08449383,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",16323745,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Australia,coral reef,marine benthic feature,seawater,SRX3637694,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",AQ_D,Amphimedon queenslandica,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,AQ.11,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_AQ_11,24h after disturbance,SRP131926,missing,D,Pulse
SRR6660584,AMPLICON,600,21615274,PRJNA432116,SAMN08449391,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",11957866,JAMES COOK UNIVERSITY,19-April-2017,public,missing,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637692,Australia,Oceania,"Australia: Queensland\, Magnetic Island Geoffrey Bay",CO_E,Coscinoderma mathewsi,Illumina MiSeq,missing,missing,19.1543 S 146.8656 E,CO.01,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_CO_01,168h after disturbance,SRP131926,missing,E,Pulse
SRR6660587,AMPLICON,600,46010034,PRJNA432116,SAMN08449435,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",23746900,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637689,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IB_F,Ianthella basta,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IB.09,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IB_09,24h after disturbance,SRP131926,missing,F,Pulse
SRR6660589,AMPLICON,600,39462586,PRJNA432116,SAMN08449433,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",20688647,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637687,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IB_E,Ianthella basta,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IB.07,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IB_07,24h after disturbance,SRP131926,missing,E,Pulse
SRR6660591,AMPLICON,600,58728587,PRJNA432116,SAMN08449439,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",30905622,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637685,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IB_A,Ianthella basta,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IB.13,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IB_13,before disturbance,SRP131926,missing,A,Control
SRR6660593,AMPLICON,600,50221125,PRJNA432116,SAMN08449437,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",26072872,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637683,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IB_D,Ianthella basta,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IB.11,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IB_11,24h after disturbance,SRP131926,missing,D,Pulse
SRR6660595,AMPLICON,599,55271278,PRJNA432116,SAMN08449441,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",28764773,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637681,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IB_C,Ianthella basta,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IB.15,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IB_15,before disturbance,SRP131926,missing,C,Control
SRR6660597,AMPLICON,600,50578827,PRJNA432116,SAMN08449477,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",33961924,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637679,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",ST_C,Stylissa flabelliformis,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,ST.15,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_ST_15,before disturbance,SRP131926,missing,C,Control
SRR6660600,AMPLICON,600,53371273,PRJNA432116,SAMN08449474,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",36046074,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637676,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",ST_D,Stylissa flabelliformis,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,ST.12,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_ST_12,before disturbance,SRP131926,missing,D,Pulse
SRR6660602,AMPLICON,601,49686892,PRJNA432116,SAMN08449476,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",33401732,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637674,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",ST_B,Stylissa flabelliformis,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,ST.14,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_ST_14,before disturbance,SRP131926,missing,B,Control
SRR6660604,AMPLICON,600,34960158,PRJNA432116,SAMN08449451,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",18894680,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637672,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IR_E,Ircinia ramosa,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IR.07,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IR_07,24h after disturbance,SRP131926,missing,E,Pulse
SRR6660610,AMPLICON,600,38517100,PRJNA432116,SAMN08449443,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",19825767,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637666,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IB_E,Ianthella basta,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IB.17,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IB_17,before disturbance,SRP131926,missing,E,Pulse
SRR6660611,AMPLICON,600,46656506,PRJNA432116,SAMN08449444,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",23913336,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Australia,coral reef,marine benthic feature,seawater,SRX3637665,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",IB_F,Ianthella basta,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,IB.18,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_IB_18,before disturbance,SRP131926,missing,F,Pulse
SRR6660614,AMPLICON,601,45749815,PRJNA432116,SAMN08449422,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",25301589,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Australia,coral reef,marine benthic feature,seawater,SRX3637662,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",CY_B,Cymbastela concentrica,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,CY.14,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_CY_14,before disturbance,SRP131926,missing,B,Control
SRR6660615,AMPLICON,601,41330295,PRJNA432116,SAMN08449421,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",22761536,JAMES COOK UNIVERSITY,03-April-2017,public,missing,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Australia,coral reef,marine benthic feature,seawater,SRX3637661,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",CY_A,Cymbastela concentrica,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,CY.13,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_CY_13,before disturbance,SRP131926,missing,A,Control
SRR6660618,AMPLICON,601,41470360,PRJNA432116,SAMN08449416,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",23009164,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Australia,coral reef,marine benthic feature,seawater,SRX3637658,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",CY_C,Cymbastela concentrica,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,CY.08,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_CY_08,24h after disturbance,SRP131926,missing,C,Control
SRR6660620,AMPLICON,601,34420685,PRJNA432116,SAMN08449418,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",19492169,JAMES COOK UNIVERSITY,13-April-2017,public,missing,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Australia,coral reef,marine benthic feature,seawater,SRX3637656,Australia,Oceania,"Australia:Great Barrier Reef\,Davies Reef",CY_A,Cymbastela concentrica,Illumina MiSeq,missing,missing,18.8235 S 147.6495 E,CY.10,PAIRED,PCR,METAGENOMIC,sponge metagenome,ILLUMINA,2018-01-31T00:00:00Z,SpongeMicrobiomeStability_CY_10,24h after disturbance,SRP131926,missing,A,Control
